,Adj Close
409,559.219238
410,570.0
411,571.186157
412,565.6856690000001
413,565.6556400000001
414,562.052063
415,575.2752690000001
416,574.8848879999999
417,578.6886599999999
418,575.84082
419,582.432434
420,583.093079
421,580.630615
422,562.477478
423,551.1661379999999
424,562.067078
425,554.014038
426,568.263245
427,591.07605
428,567.282288
429,569.649658
430,572.17218
431,580.5605469999999
432,589.3093259999999
433,587.052063
434,595.6856690000001
435,593.938965
436,600.550537
437,602.0020139999999
438,606.046021
439,601.77179
440,602.657654
441,602.4974980000001
442,606.8618769999999
443,610.610596
444,610.695679
445,610.21521
446,608.433411
447,601.94696
448,608.063049
449,609.739746
450,610.415405
451,608.0029910000001
452,606.3914179999999
453,600.5955809999999
454,604.254272
455,595.1251219999999
456,586.987
457,596.646667
458,606.2362059999999
459,600.22522
460,599.179199
461,592.112122
462,579.544556
463,579.939941
464,566.551575
465,557.697693
466,560.63562
467,557.812805
468,568.013
469,568.118103
470,571.5
471,545.25
472,540.630005
473,557.51001
474,567.039978
475,546.6900019999999
476,537.76001
477,545.200012
478,548.700012
479,563.900024
480,543.340027
481,539.369995
482,545.5
483,537.51001
484,534.4400019999999
485,523.099976
486,522.97998
487,536.330017
488,534.880005
489,538.530029
490,533.869995
491,535.330017
492,522.570007
493,518.0
494,520.169983
495,526.619995
496,538.429993
497,541.539978
498,534.409973
499,529.119995
500,528.299988
501,538.830017
502,540.3900150000001
503,549.700012
504,555.450012
505,563.799988
506,574.869995
507,570.450012
508,570.5599980000001
509,571.650024
510,564.340027
511,554.51001
512,553.76001
513,564.929993
514,566.030029
515,570.72998
516,568.299988
517,567.5
518,559.5
519,560.349976
520,552.299988
521,550.619995
522,560.659973
523,564.98999
524,566.52002
525,574.289978
526,572.539978
527,585.929993
528,584.77002
529,585.6900019999999
530,584.669983
531,591.48999
532,590.780029
533,593.080017
534,590.76001
535,578.400024
536,583.3599849999999
537,580.039978
538,586.650024
539,594.26001
540,593.0599980000001
541,590.619995
542,580.820007
543,605.1099849999999
544,598.4400019999999
545,603.570007
546,605.1900019999999
547,603.01001
548,598.080017
549,599.02002
550,593.950012
551,595.4400019999999
552,579.549988
553,573.599976
554,582.27002
555,573.1400150000001
556,574.48999
557,571.8099980000001
558,577.9400019999999
559,577.25
560,572.119995
561,584.5599980000001
562,584.650024
563,583.710022
564,592.700012
565,597.1099849999999
566,595.409973
567,592.419983
568,592.539978
569,590.570007
570,588.119995
571,583.0
572,580.320007
573,582.3599849999999
574,588.630005
575,589.52002
576,593.1400150000001
577,597.780029
578,601.630005
579,591.969971
580,593.419983
581,591.1099849999999
582,584.900024
583,581.6400150000001
584,588.780029
585,593.289978
586,597.27002
587,605.400024
588,597.27002
589,591.179993
590,598.419983
591,585.25
592,587.900024
593,587.8099980000001
594,588.409973
595,579.630005
596,580.880005
597,586.25
598,587.780029
599,574.099976
600,583.73999
601,570.8099980000001
602,555.1900019999999
603,544.75
604,548.6900019999999
605,540.72998
606,536.919983
607,522.969971
608,532.380005
609,538.030029
610,542.6900019999999
611,553.650024
612,548.900024
613,549.880005
614,558.9400019999999
615,558.450012
616,560.27002
617,567.869995
618,563.77002
619,564.1900019999999
620,555.950012
621,551.6900019999999
622,551.820007
623,558.22998
624,561.289978
625,558.25
626,556.4400019999999
627,555.1900019999999
628,546.6400150000001
629,544.51001
630,547.200012
631,543.76001
632,545.8900150000001
633,547.47998
634,549.22998
635,547.72998
636,549.080017
637,539.650024
638,538.590027
639,536.969971
640,542.580017
641,528.080017
642,530.72998
643,536.1099849999999
644,528.039978
645,532.1099849999999
646,521.51001
647,515.840027
648,498.160004
649,506.450012
650,514.619995
651,520.039978
652,532.299988
653,538.77002
654,536.929993
655,541.52002
656,537.3099980000001
657,535.280029
658,530.659973
659,529.549988
660,519.460022
661,506.64001500000006
662,505.14999400000005
663,506.910004
664,500.72000099999997
665,497.05999800000006
666,501.799988
667,505.92999299999997
668,504.01000999999997
669,510.459991
670,509.94000199999994
671,520.3900150000001
672,537.299988
673,541.950012
674,536.719971
675,521.1900019999999
676,512.429993
677,513.22998
678,537.549988
679,532.200012
680,533.299988
681,526.099976
682,529.830017
683,533.880005
684,529.280029
685,540.159973
686,538.0
687,546.01001
688,551.159973
689,545.01001
690,542.650024
691,546.450012
692,541.799988
693,535.0
694,538.650024
695,547.330017
696,559.289978
697,562.630005
698,575.02002
699,578.789978
700,578.330017
701,581.429993
702,572.900024
703,574.099976
704,559.849976
705,555.6900019999999
706,561.169983
707,553.0
708,561.6400150000001
709,557.6099849999999
710,566.159973
711,563.669983
712,564.950012
713,565.369995
714,577.539978
715,567.0
716,563.6400150000001
717,557.549988
718,561.1400150000001
719,554.700012
720,549.48999
721,541.3099980000001
722,543.950012
723,544.8599849999999
724,548.840027
725,548.02002
726,548.539978
727,548.6400150000001
728,539.780029
729,541.039978
730,543.52002
731,532.73999
732,544.530029
733,542.919983
734,549.179993
735,557.460022
736,573.659973
737,566.119995
738,564.369995
739,561.3900150000001
740,548.77002
741,551.159973
742,552.840027
743,543.039978
744,535.080017
745,542.039978
746,548.950012
747,545.780029
748,538.72998
749,539.48999
750,549.200012
751,546.48999
752,546.669983
753,549.280029
754,552.51001
755,556.8099980000001
756,554.52002
757,547.1900019999999
758,554.25
759,554.179993
760,545.320007
761,549.210022
762,553.950012
763,555.289978
764,551.6900019999999
765,549.530029
766,543.47998
767,542.159973
768,552.599976
769,550.039978
770,547.469971
771,543.0
772,544.869995
773,546.599976
774,556.179993
775,557.52002
776,559.679993
777,563.3900150000001
778,558.570007
779,557.950012
780,553.0599980000001
781,541.25
782,540.039978
783,543.299988
784,547.340027
785,545.619995
786,550.030029
787,541.700012
788,544.650024
789,556.1099849999999
790,571.72998
791,584.179993
792,583.960022
793,601.780029
794,699.619995
795,692.840027
796,695.349976
797,695.099976
798,674.72998
799,654.77002
800,658.27002
801,659.659973
802,661.429993
803,664.5599980000001
804,657.5
805,664.719971
806,661.280029
807,673.289978
808,670.150024
809,664.3900150000001
810,663.1400150000001
811,690.299988
812,691.469971
813,686.51001
814,689.369995
815,694.1099849999999
816,688.72998
817,694.039978
818,679.47998
819,644.030029
820,618.1099849999999
821,612.469971
822,659.73999
823,667.960022
824,659.6900019999999
825,647.820007
826,629.5599980000001
827,644.909973
828,637.049988
829,628.960022
830,643.880005
831,643.409973
832,651.080017
833,655.299988
834,652.469971
835,665.070007
836,665.52002
837,671.669983
838,660.919983
839,666.97998
840,653.200012
841,653.289978
842,654.909973
843,640.150024
844,624.25
845,622.6099849999999
846,638.369995
847,642.0
848,656.98999
849,671.679993
850,671.6400150000001
851,670.0
852,667.0
853,671.23999
854,676.429993
855,683.169983
856,680.409973
857,693.02002
858,695.320007
859,699.950012
860,680.0
861,671.799988
862,681.1400150000001
863,719.330017
864,731.119995
865,732.820007
866,736.919983
867,744.849976
868,737.3900150000001
869,747.73999
870,748.820007
871,755.3099980000001
872,760.669983
873,761.599976
874,754.77002
875,758.26001
876,765.25
877,756.530029
878,740.070007
879,750.419983
880,745.97998
881,760.01001
882,759.9400019999999
883,777.0
884,776.700012
885,769.630005
886,769.26001
887,771.969971
888,762.849976
889,783.789978
890,777.849976
891,768.200012
892,779.210022
893,772.98999
894,775.1400150000001
895,762.549988
896,760.039978
897,750.419983
898,762.539978
899,760.090027
900,776.590027
901,769.830017
902,756.849976
903,760.799988
904,767.130005
905,768.51001
906,765.840027
907,782.23999
908,793.960022
909,790.299988
910,778.01001
911,759.4400019999999
912,761.530029
913,759.330017
914,741.0
915,730.909973
916,733.070007
917,745.340027
918,719.570007
919,731.3900150000001
920,710.48999
921,719.080017
922,718.5599980000001
923,726.669983
924,745.460022
925,733.619995
926,733.789978
927,717.580017
928,748.299988
929,761.349976
930,770.77002
931,780.909973
932,749.380005
933,730.030029
934,703.76001
935,704.159973
936,701.02002
937,706.849976
938,706.3599849999999
939,706.8900150000001
940,717.6400150000001
941,731.969971
942,717.51001
943,722.1099849999999
944,729.049988
945,717.289978
946,720.900024
947,729.119995
948,724.8599849999999
949,717.219971
950,742.169983
951,739.47998
952,731.590027
953,730.219971
954,712.799988
955,713.530029
956,725.409973
957,732.169983
958,744.869995
959,750.23999
960,750.570007
961,757.3599849999999
962,758.47998
963,755.409973
964,762.159973
965,760.049988
966,757.5599980000001
967,754.840027
968,753.280029
969,765.8900150000001
970,768.340027
971,762.900024
972,769.669983
973,765.119995
974,758.570007
975,768.070007
976,760.119995
977,759.469971
978,757.539978
979,764.320007
980,771.909973
981,775.3900150000001
982,780.0
983,787.679993
984,776.25
985,774.919983
986,780.0
987,737.77002
988,742.210022
989,725.369995
990,721.460022
991,705.0599980000001
992,707.880005
993,714.409973
994,708.4400019999999
995,711.369995
996,714.710022
997,725.179993
998,729.130005
999,739.380005
1000,730.549988
1001,728.070007
1002,724.830017
1003,730.299988
1004,720.1900019999999
1005,721.780029
1006,715.3099980000001
1007,721.710022
1008,717.25
1009,733.030029
1010,738.099976
1011,736.929993
1012,747.599976
1013,748.849976
1014,748.460022
1015,744.27002
1016,735.8599849999999
1017,730.0599980000001
1018,731.090027
1019,742.929993
1020,742.52002
1021,733.1900019999999
1022,731.880005
1023,733.25
1024,732.1900019999999
1025,724.25
1026,704.25
1027,706.130005
1028,708.880005
